File path,File Name,Test Files Added Date,Number Of People Involved,Number of Modifications,Modification Dates,People involved
numpy/lib/tests/test_function_base.py, test_function_base.py, 2002-04-03, 120, 401,  2002-04-03 2002-09-18 2002-10-16 2003-09-20 2003-09-22 2003-09-27 2003-10-23 2003-10-24 2004-02-01 2004-12-03 2004-12-22 2005-01-05 2005-09-14 2005-09-29 2005-10-25 2005-12-06 2005-12-26 2005-12-28 2005-12-30 2006-01-04 2006-03-10 2006-03-13 2006-04-13 2006-04-14 2006-05-16 2006-05-17 2006-06-30 2006-07-06 2006-07-17 2006-07-19 2006-08-04 2006-08-28 2006-08-29 2006-09-14 2006-09-15 2006-10-07 2007-01-08 2007-03-23 2007-04-02 2007-04-11 2007-05-13 2007-05-28 2007-10-02 2007-12-15 2008-03-14 2008-03-16 2008-03-19 2008-04-20 2008-04-25 2008-05-22 2008-06-17 2008-06-21 2008-07-03 2008-07-08 2008-07-09 2008-07-13 2008-07-22 2008-08-05 2008-08-08 2008-08-12 2008-09-09 2008-11-12 2009-01-17 2009-03-06 2009-03-26 2009-03-27 2009-09-16 2010-02-02 2010-02-16 2010-02-21 2010-03-18 2010-03-22 2010-03-31 2010-05-06 2010-05-07 2010-05-16 2010-05-24 2010-05-29 2010-06-27 2010-07-07 2010-07-31 2010-08-27 2010-08-30 2010-08-31 2011-01-07 2010-11-21 2011-03-23 2011-03-29 2011-03-31 2011-04-05 2011-07-19 2011-07-20 2011-08-02 2011-08-05 2011-12-13 2011-12-28 2012-01-21 2012-02-05 2012-02-20 2011-06-02 2011-12-29 2012-04-01 2012-04-03 2012-04-05 2012-04-06 2012-07-10 2012-07-17 2012-09-07 2012-10-01 2013-02-27 2013-03-05 2013-03-27 2013-04-06 2012-10-11 2013-01-27 2013-03-07 2013-04-11 2013-04-26 2013-07-11 2013-07-03 2013-07-09 2013-05-23 2013-06-20 2013-08-17 2013-08-18 2013-08-31 2013-09-02 2013-08-12 2013-06-28 2013-08-28 2013-09-05 2013-09-13 2013-09-16 2013-09-28 2013-10-01 2013-09-20 2013-10-08 2013-11-19 2013-12-07 2013-12-23 2014-01-30 2013-04-14 2014-02-09 2014-02-12 2014-02-16 2014-02-21 2014-02-20 2014-02-27 2014-03-12 2013-10-13 2014-03-17 2014-02-24 2014-03-24 2014-05-29 2014-06-07 2014-06-23 2014-08-24 2014-08-30 2014-09-04 2014-10-02 2014-10-03 2014-10-14 2014-10-18 2014-10-21 2014-11-20 2014-12-07 2015-01-10 2015-01-13 2015-02-20 2015-03-15 2015-05-01 2014-08-13 2014-03-08 2015-06-22 2015-07-08 2015-07-21 2015-07-05 2015-07-22 2015-07-25 2015-07-27 2015-08-15 2015-08-13 2015-07-29 2015-08-29 2015-10-03 2015-10-20 2015-10-19 2015-11-15 2015-12-07 2016-01-12 2016-01-16 2016-01-29 2016-01-30 2016-01-27 2016-02-02 2016-02-01 2015-09-22 2016-02-18 2016-02-25 2016-03-05 2016-02-24 2016-03-09 2016-02-26 2016-03-13 2016-01-13 2016-03-14 2016-03-16 2016-02-27 2016-03-12 2015-12-10 2016-05-11 2016-05-10 2016-05-15 2016-05-25 2016-06-17 2016-08-06 2016-08-29 2016-06-19 2016-10-17 2016-10-21 2016-11-18 2017-02-13 2017-02-09 2017-02-21 2017-01-04 2017-03-07 2016-12-05 2017-03-26 2017-05-09 2017-06-03 2017-06-17 2017-06-24 2017-07-04 2017-07-13 2017-07-17 2017-07-27 2017-08-01 2017-08-11 2017-07-01 2017-10-21 2017-10-22 2017-12-09 2017-12-28 2018-02-25 2018-03-12 2018-03-25 2018-04-04 2018-01-16 2018-04-10 2018-04-29 2018-05-01 2018-06-28 2018-06-29 2018-07-30 2018-09-25 2018-10-22 2018-11-14 2018-12-05 2018-12-06 2019-01-06 2019-01-09 2019-02-16 2019-03-04 2019-03-31 2019-04-23 2019-04-10 2018-06-03 2019-07-01 2019-07-04 2019-09-23 2019-10-01 2019-10-30 2019-11-21 2020-01-01 2019-12-31 2019-08-27 2020-01-05 2020-01-08 2020-01-23 2020-02-03 2020-02-01 2020-03-11 2020-03-22 2020-03-23 2020-03-25 2020-03-26 2020-04-30 2020-05-02 2020-05-15 2020-05-22 2020-05-17 2020-05-21 2020-05-26 2020-05-27 2020-06-10 2020-06-12 2020-06-27 2020-05-14 2020-07-23 2020-08-02 2020-07-14 2020-08-04 2020-08-11 2020-08-12 2020-08-13 2020-08-20 2020-08-21 2020-08-27 2020-08-31 2020-09-14 2020-10-09 2021-01-03 2021-03-31 2021-04-05 2021-04-22 2021-06-26 2021-08-07 2021-08-08 2021-08-30 2021-09-13 2021-09-30 2021-10-20 2021-09-02 2021-10-19 2021-10-21 2021-10-22 2021-11-09 2021-11-08 2022-01-16,  Eric Jones Pearu Peterson Travis Oliphant nobody jmiller Robert Kern edschofield cookedm Tim Leslie Stefan van der Walt Charles Harris dhuard Jarrod Millman Alan McIntyre Pauli Virtanen David Cournapeau pierregm rgommers David Warde-Farley Ralf Gommers Lars Buitinck David Huard Mark Wiebe Chris Jordan-Squire Per A. Brodtkorb Ben Root Skipper Seabold Timo Kluck Michael McNeil Forbes Loftie Ellis Travis E. Oliphant Han Genuit Nathaniel J. Smith Sebastian Berg Félix Hartmann Julian Taylor danieljfarrell Jonathan Helmus Joseph Martinot-Lagarde rhewett jaimefrio Robert Franke Sankarshan Mudkavi LeoMao Robert Pröpper immerrr Juan Luis Cano Rodríguez saullogiovani David M Fobes Malik Woods Elliott M Forney carlkl Matthew Brett behzad nouri tpoole empeeu Bertrand Thomas Robitaille Varun Nayyar Jaime Fernandez Maximilian Trescher Ethan Kruse lzkelley gfyoung Aditya Panchal Marten van Kerkwijk Joseph Fox-Rabinovitz Ines Wichert Allan Haldane Emilien Kofman Eren Sezener Denis Alevi Peter Creasey Endolith mattip Erik M. Bray Stephan Hoyer alvarosg Eric Wieser Alessandro Pietro Bardelli Duke Vijitbenjaronk Antony Lee Ville Skyttä Egor Panfilov Brandon Carter Nico Schlömer David Freese Chun-Wei Yuan Junjie Bai luzpaz Jack Vreeken Matt Harrigan Tyler Reddy Roman Yurchak Matti Picus ayir MSeifert04 Seth Troisi David Zwicker Warren Weckesser Jon Dufresne Eric Mariasis Ross Barnowski Tobias Pitters CloseChoice Kaspar Thommen Alex Max Kellermeier marload Bas van Beek peterbell10 scimax Lisa Schwetlick DCtheTall Kevin Sheppard Ankit Dwivedi Mike Taves warren abel Devin Shanahan
numpy/lib/tests/test_index_tricks.py, test_index_tricks.py, 2002-04-03, 34, 100,  2002-04-03 2002-09-18 2002-10-16 2003-09-20 2003-10-24 2004-02-01 2005-09-14 2005-09-29 2005-10-08 2005-12-26 2006-01-04 2006-01-05 2006-03-13 2006-07-06 2006-07-17 2006-09-14 2007-01-08 2007-10-02 2007-12-15 2008-04-11 2008-06-17 2008-06-21 2008-07-03 2008-07-13 2008-08-08 2009-06-19 2009-07-04 2009-09-16 2010-10-10 2011-02-08 2011-03-14 2011-04-05 2011-07-26 2011-08-18 2011-09-01 2011-09-02 2012-06-11 2012-08-27 2013-01-09 2013-01-10 2013-01-21 2013-02-27 2013-03-27 2013-04-06 2013-08-18 2013-09-02 2013-09-09 2014-07-30 2015-04-27 2015-04-28 2015-07-11 2016-02-18 2016-09-26 2016-10-02 2017-02-19 2017-03-22 2017-07-17 2017-08-01 2017-10-17 2017-12-11 2018-01-04 2018-04-04 2018-04-07 2018-04-29 2018-05-28 2018-08-19 2018-10-06 2018-10-10 2018-08-01 2018-10-26 2018-08-07 2019-05-02 2019-07-01 2019-09-22 2019-08-27 2020-01-05 2020-07-12 2020-07-13 2020-12-02 2021-10-08,  Eric Jones Pearu Peterson nobody Travis Oliphant Robert Kern Tim Leslie cookedm Stefan van der Walt Alan McIntyre Jarrod Millman Pauli Virtanen David Cournapeau Mark Wiebe Charles Harris Chris Jordan-Squire Frederic Jay Bourque Travis E. Oliphant Sebastian Berg Jaime Fernandez mlai gfyoung Shota Kawabuchi Eric Wieser luz.paz Marten van Kerkwijk mattip Tyler Reddy James Bourbeau psschand MSeifert04 Jon Dufresne Cameron Blocker Alessia Marcolini
scipy/base/tests/test_limits.py, test_limits.py, 2002-04-03, 5, 8,  2002-04-03 2002-10-16 2003-09-20 2003-10-24 2004-02-01 2005-09-14 2005-09-29,  Eric Jones Pearu Peterson nobody Travis Oliphant Robert Kern
scipy/base/tests/test_matrix_base.py, test_matrix_base.py, 2002-04-03, 5, 9,  2002-04-03 2002-09-18 2002-10-16 2003-09-20 2003-10-24 2004-02-01 2005-09-14 2005-09-29,  Eric Jones Pearu Peterson nobody Travis Oliphant Robert Kern
numpy/lib/tests/test_shape_base.py, test_shape_base.py, 2002-04-03, 45, 150,  2002-04-03 2002-09-18 2002-10-16 2003-09-20 2003-10-24 2004-02-01 2004-11-14 2005-09-14 2005-09-29 2005-10-05 2005-11-04 2005-12-26 2006-01-04 2006-03-10 2006-03-18 2006-04-20 2006-07-06 2006-07-17 2006-10-07 2006-10-09 2007-01-08 2007-01-09 2007-07-10 2007-10-02 2007-10-29 2007-12-15 2008-06-17 2008-06-21 2008-07-03 2008-07-13 2008-08-08 2009-09-16 2011-04-05 2011-08-16 2011-08-18 2012-09-15 2012-09-13 2012-09-30 2013-02-27 2013-03-05 2013-03-27 2013-04-06 2013-04-09 2013-04-11 2013-05-26 2013-08-18 2013-08-31 2013-09-02 2013-12-20 2014-07-30 2015-02-19 2015-02-25 2015-06-18 2015-06-19 2015-07-16 2015-07-05 2015-07-22 2015-09-27 2015-10-30 2015-12-10 2016-02-29 2016-10-11 2016-12-31 2017-01-02 2017-01-03 2017-01-20 2017-02-13 2017-02-09 2017-03-21 2017-02-19 2014-09-07 2017-04-04 2017-04-03 2017-04-20 2017-04-05 2017-04-06 2017-05-17 2017-07-17 2017-08-05 2017-08-11 2017-06-02 2017-09-25 2017-04-22 2017-11-12 2018-04-04 2018-04-29 2018-05-01 2017-02-28 2018-07-30 2018-08-26 2018-09-18 2018-10-19 2018-10-02 2018-10-04 2018-10-20 2018-10-25 2018-10-27 2018-11-04 2018-11-24 2018-12-06 2018-12-19 2019-01-05 2019-12-02 2020-01-01 2019-08-27 2020-01-05 2020-01-08 2020-01-23 2020-03-26 2020-06-10 2020-04-30 2020-12-21 2021-01-04 2021-04-19 2021-08-30 2022-03-22 2022-03-25 2022-04-04,  Eric Jones Pearu Peterson nobody Travis Oliphant Robert Kern cookedm Tim Leslie Tim Hochberg Stefan van der Walt Jarrod Millman Alan McIntyre David Cournapeau Charles Harris Mark Wiebe Han Genuit Matthew Brett Ondřej Čertík Julian Taylor Sebastian Berg Jay Bourque Oliver Eberle Stephan Hoyer Dimas Abreu Dutra gkBCCN Ben Rowland Eric Wieser ZZhaoTireless Stefan Otte Nico Schlömer Jamie Townsend Allan Haldane Marten van Kerkwijk luzpaz Nikita Titov Mark Harfouche Tyler Reddy Roman Yurchak Antony Lee Larry Bradley Warren Weckesser Jon Dufresne Seth Troisi vrakesh Mike Taves Ganesh Kathiresan
numpy/lib/tests/test_type_check.py, test_type_check.py, 2002-04-03, 23, 69,  2002-04-03 2002-09-18 2002-10-16 2003-09-20 2003-10-24 2004-02-01 2004-11-18 2004-12-03 2005-09-14 2005-09-29 2005-09-30 2005-10-05 2005-12-26 2006-01-04 2006-03-10 2006-07-06 2006-07-17 2006-08-29 2006-10-19 2007-01-08 2007-08-01 2007-10-02 2007-12-15 2008-06-17 2008-06-21 2008-07-03 2008-07-13 2010-02-21 2010-04-27 2010-05-08 2010-12-27 2011-04-05 2011-05-20 2013-02-27 2013-03-27 2013-04-06 2013-04-11 2013-07-11 2013-08-18 2013-09-02 2014-07-30 2015-04-03 2015-06-22 2016-08-15 2017-02-10 2017-02-19 2016-12-17 2017-07-17 2017-08-01 2017-08-06 2018-02-02 2018-04-04 2019-03-30 2019-04-09 2019-08-27 2020-01-05 2020-03-26,  Eric Jones Travis Oliphant Pearu Peterson nobody jmiller Robert Kern cookedm Tim Hochberg Stefan van der Walt Alan McIntyre Charles Harris Pauli Virtanen chanley Mark Wiebe Marten van Kerkwijk Michael Goerz Joerg Behrmann Joshua Loyal gfyoung Eric Wieser Matheus Vieira Portela kikocorreoso Jon Dufresne
None, test_c_spec.py, 2002-09-12, 4, 12,  2002-09-12 2002-09-18 2002-09-21 2002-09-23 2002-09-30 2002-10-11 2003-03-07 2003-10-25 2004-02-01 2005-09-26 2005-12-26 2006-01-02,  Eric Jones Pearu Peterson nobody Travis Oliphant
None, test_scxx.py, 2002-09-28, 4, 12,  2002-09-28 2002-09-29 2002-09-30 2002-10-10 2003-10-25 2004-02-01 2005-09-26 2005-12-26 2006-01-02,  Eric Jones Pearu Peterson nobody Travis Oliphant
None, test_scxx_dict.py, 2002-10-10, 4, 6,  2002-10-10 2003-10-25 2004-02-01 2005-09-26 2005-12-26 2006-01-02,  Eric Jones Pearu Peterson nobody Travis Oliphant
None, test_scxx_object.py, 2002-10-10, 4, 6,  2002-10-10 2003-10-25 2004-02-01 2005-09-26 2005-12-26 2006-01-02,  Eric Jones Pearu Peterson nobody Travis Oliphant
None, test_scxx_sequence.py, 2002-10-10, 4, 6,  2002-10-10 2003-10-25 2004-02-01 2005-09-26 2005-12-26 2006-01-02,  Eric Jones Pearu Peterson nobody Travis Oliphant
None, test_general_function.py, 2003-09-20, 2, 2,  2003-09-20,  Pearu Peterson Travis Oliphant
base/tests/test_fastumath.py, test_fastumath.py, 2003-09-25, 3, 4,  2003-09-25 2003-10-24 2004-02-01 2005-09-14,  Pearu Peterson nobody Travis Oliphant
None, test_fib2.py, 2004-01-31, 7, 22,  2004-01-31 2005-09-14 2006-01-04 2006-01-05 2006-07-06 2006-07-17 2006-07-28 2007-10-02 2007-12-15 2008-06-17 2008-06-21 2008-07-05 2013-02-27 2013-03-27 2013-04-06 2013-08-18 2015-07-25 2016-01-06,  Pearu Peterson Travis Oliphant cookedm Stefan van der Walt Alan McIntyre Charles Harris Ralf Gommers
None, test_foo.py, 2004-01-31, 7, 22,  2004-01-31 2005-09-14 2006-01-04 2006-01-05 2006-07-06 2006-07-17 2006-07-28 2007-10-02 2007-12-15 2008-06-17 2008-06-21 2008-07-05 2013-02-27 2013-03-27 2013-04-06 2013-08-18 2015-07-25 2016-01-06,  Pearu Peterson Travis Oliphant cookedm Stefan van der Walt Alan McIntyre Charles Harris Ralf Gommers
None, test_fib3.py, 2004-01-31, 7, 22,  2004-01-31 2005-09-14 2006-01-04 2006-01-05 2006-07-06 2006-07-17 2006-07-28 2007-10-02 2007-12-15 2008-06-17 2008-06-21 2008-07-05 2013-02-27 2013-03-27 2013-04-06 2013-08-18 2015-07-25 2016-01-06,  Pearu Peterson Travis Oliphant cookedm Stefan van der Walt Alan McIntyre Charles Harris Ralf Gommers
None, test_example.py, 2004-01-31, 7, 23,  2004-01-31 2005-09-14 2006-01-04 2006-01-05 2006-02-06 2006-07-06 2006-07-17 2006-07-28 2007-10-02 2007-12-15 2008-06-17 2008-06-21 2008-07-05 2013-02-27 2013-03-27 2013-04-06 2013-08-18 2015-07-25 2016-01-06,  Pearu Peterson Travis Oliphant cookedm Stefan van der Walt Alan McIntyre Charles Harris Ralf Gommers
None, test_example2.py, 2004-01-31, 7, 21,  2004-01-31 2005-09-14 2006-01-04 2006-02-06 2006-07-06 2006-07-17 2006-07-28 2007-10-02 2007-12-15 2008-06-17 2008-06-21 2008-07-05 2013-02-27 2013-03-27 2013-04-06 2015-07-25 2016-01-06,  Pearu Peterson Travis Oliphant cookedm Stefan van der Walt Alan McIntyre Charles Harris Ralf Gommers
scipy/base/tests/test_basic.py, test_basic.py, 2005-09-14, 2, 3,  2005-09-14 2005-09-29,  Travis Oliphant Robert Kern
scipy/distutils/tests/test_build_src.py, test_build_src.py, 2005-09-14, 1, 2,  2005-09-14,  Travis Oliphant
None, test.py, 2005-09-27, 3, 4,  2005-09-27 2005-09-29 2018-02-28 2018-03-14,  Travis Oliphant Pearu Peterson Kevin Sheppard
None, test_array.py, 2005-09-27, 2, 2,  2005-09-27 2005-09-29,  Travis Oliphant Pearu Peterson
None, test_scalar.py, 2005-09-27, 2, 2,  2005-09-27 2005-09-29,  Travis Oliphant Pearu Peterson
numpy/f2py/tests/test_f2py2e.py, test_f2py2e.py, 2005-09-27, 3, 3,  2005-09-27 2005-09-29 2022-04-01,  Travis Oliphant Pearu Peterson Rohit Goswami
numpy/lib/tests/test_twodim_base.py, test_twodim_base.py, 2005-09-29, 26, 72,  2005-09-29 2005-10-05 2005-12-26 2006-01-04 2006-01-05 2006-03-10 2006-03-13 2006-07-01 2006-07-06 2006-07-20 2006-09-14 2007-01-08 2007-04-02 2007-07-25 2007-09-20 2007-09-30 2007-10-02 2007-12-15 2008-06-17 2008-06-21 2008-07-03 2008-08-08 2009-07-04 2009-07-12 2010-02-20 2010-02-21 2010-08-10 2011-03-23 2011-04-03 2011-04-05 2011-07-20 2011-08-31 2013-02-27 2013-03-05 2013-03-27 2013-04-06 2013-08-18 2013-09-02 2013-11-02 2014-02-24 2014-03-25 2014-05-30 2014-07-10 2014-07-29 2014-07-30 2015-02-13 2016-02-27 2016-05-15 2016-06-19 2017-03-25 2017-07-17 2017-11-12 2018-04-04 2018-04-07 2018-06-20 2019-06-20 2019-08-27 2020-01-05 2021-11-02,  Robert Kern Travis Oliphant Pearu Peterson cookedm Tim Leslie Stefan van der Walt Alan McIntyre Jarrod Millman Pauli Virtanen Charles Harris Ralf Gommers David Huard Fabian Pedregosa Warren Weckesser alex jaimefrio Julian Taylor Yotam Doron Åsmund Hjulstad Denis Alevi Sebastian Berg Eric Wieser Danny Hermes Marten van Kerkwijk Jon Dufresne Jérome Eertmans
numpy/core/tests/test_matrix.py, test_matrix.py, 2005-10-12, 4, 14,  2005-10-12 2005-11-14 2005-11-16 2005-11-17 2005-11-18 2005-12-16 2005-12-25 2005-12-26 2006-01-04 2006-01-05,  Robert Kern Travis Oliphant edschofield Pearu Peterson
numpy/core/tests/test_umath.py, test_umath.py, 2005-10-13, 64, 342,  2005-10-13 2005-12-26 2006-01-04 2006-01-11 2006-01-12 2006-01-14 2006-01-15 2006-01-18 2006-01-20 2006-02-21 2006-03-09 2006-03-10 2006-06-14 2006-06-19 2006-07-06 2006-07-17 2006-07-31 2007-01-08 2007-04-25 2007-10-02 2007-12-14 2007-12-15 2008-03-17 2008-03-18 2008-06-08 2008-06-17 2008-06-21 2008-07-03 2008-07-19 2008-07-20 2008-07-22 2008-08-01 2008-08-08 2008-08-13 2008-09-04 2008-09-09 2008-09-29 2008-10-02 2008-10-04 2008-10-21 2008-11-11 2008-12-20 2009-03-01 2009-03-03 2009-03-08 2009-03-09 2009-03-10 2009-03-11 2009-03-19 2009-03-23 2009-03-24 2009-05-10 2009-05-19 2009-06-16 2009-07-01 2009-07-07 2009-07-20 2009-07-21 2009-08-23 2009-10-30 2009-11-04 2009-11-10 2009-11-22 2009-11-23 2009-12-02 2009-12-06 2009-12-13 2010-02-21 2010-03-31 2010-04-13 2010-05-25 2010-07-18 2010-07-31 2010-10-11 2010-10-20 2010-11-08 2010-11-21 2011-04-02 2011-04-03 2011-04-05 2011-10-23 2012-02-12 2012-02-20 2012-03-03 2012-12-16 2013-02-27 2013-03-12 2013-03-27 2013-04-06 2013-04-21 2013-05-19 2013-06-05 2013-06-07 2013-06-09 2013-07-11 2013-01-07 2013-01-17 2013-08-12 2013-08-18 2013-07-22 2013-09-12 2013-09-22 2013-09-23 2013-10-19 2013-10-29 2014-01-04 2014-02-27 2013-12-26 2014-03-02 2013-07-10 2014-01-26 2014-04-18 2014-05-25 2014-06-07 2014-07-08 2014-08-22 2014-08-29 2014-09-05 2014-09-24 2014-10-02 2014-10-28 2015-01-28 2015-03-01 2015-07-05 2015-07-22 2015-09-29 2015-11-07 2015-11-17 2016-01-29 2016-02-15 2016-03-02 2016-04-01 2016-04-05 2016-05-19 2016-09-01 2016-06-19 2016-09-14 2016-04-30 2016-10-08 2016-10-20 2016-11-22 2016-11-23 2017-01-21 2017-01-22 2017-02-04 2017-02-13 2017-02-21 2017-03-07 2014-04-25 2017-04-05 2017-04-16 2016-11-06 2016-11-08 2016-11-12 2017-03-14 2017-03-24 2017-03-12 2017-04-03 2017-04-06 2017-04-08 2017-04-10 2017-04-12 2017-04-21 2017-04-24 2017-04-27 2017-05-05 2017-05-06 2017-04-29 2017-05-10 2017-05-11 2017-05-12 2017-07-04 2017-07-17 2017-08-01 2017-10-18 2017-12-12 2018-01-06 2018-02-28 2018-03-23 2018-03-25 2018-04-04 2018-01-24 2018-04-24 2018-04-29 2018-05-10 2018-05-06 2018-05-02 2018-01-20 2018-06-10 2018-06-11 2018-07-20 2018-08-01 2018-08-19 2018-10-21 2017-04-17 2018-11-13 2018-12-06 2017-12-10 2019-02-18 2019-04-16 2019-04-19 2019-04-30 2019-05-13 2019-07-03 2019-07-26 2019-05-01 2019-05-20 2019-05-23 2019-05-29 2019-05-24 2019-07-02 2019-07-08 2019-07-09 2019-10-11 2019-10-29 2019-11-06 2019-11-11 2019-12-15 2019-08-27 2020-01-05 2020-01-06 2020-01-14 2019-12-16 2020-01-16 2019-11-07 2020-02-19 2020-04-07 2020-04-08 2020-05-12 2020-05-13 2020-05-31 2020-05-04 2020-05-19 2020-05-27 2020-06-02 2020-06-12 2020-06-15 2020-06-24 2020-09-02 2020-11-12 2020-11-20 2020-11-21 2020-11-23 2020-12-19 2021-03-11 2021-03-19 2021-03-20 2021-03-22 2021-05-05 2021-05-19 2021-05-29 2021-06-09 2021-06-10 2021-06-11 2021-06-15 2021-06-24 2021-06-25 2021-07-06 2021-07-12 2021-06-02 2021-07-16 2021-07-19 2021-02-01 2021-10-07 2021-10-08 2021-10-11 2021-10-19 2021-11-02 2021-11-21 2021-12-10 2022-02-01 2022-02-03,  Pearu Peterson Travis Oliphant cookedm sasha Tim Hochberg Stefan van der Walt Charles Harris Pauli Virtanen Alan McIntyre Robert Kern Jarrod Millman David Cournapeau Darren Dale dhuard rgommers Ralf Gommers Travis E. Oliphant Eric Moore Julian Taylor Mark Wiebe Blake Griffith Sebastian Berg jaimefrio Lars Buitinck Jaime Fernandez Yash Mehrotra Rémy Léone Matthew Brett Nathaniel J. Smith Loïc Estève Pedro Lacerda Eric Wieser James Cowgill Warren Weckesser Marten van Kerkwijk Stephan Hoyer Allan Haldane xoviat Hameer Abbasi Matti Picus mattip Roman Yurchak tlatorre Tyler Reddy Raghuveer Devulapalli Oleksandr Pavlyk Till Hoffmann Jon Dufresne Brian Wignall mattharrigan Gengxin Xie Erik Welch Anirudh Subramanian Erfan Nariman | Veneficus Sayed Adel Ganesh Kathiresan Mike Taves rubiales Stephannie Jimenez Gacha DWesl Alessia Marcolini Developer-Ecosystem-Engineering warren H. Vetinari
