File Name,Test Files Added Date,Number Of People Involved,Number of Modifications
test_getlimits.py, 2005-10-13, 19, 43
test_helper.py, 2005-10-13, 16, 37
test_misc_util.py, 2005-10-13, 11, 35
test_array_from_pyobj.py, 2005-10-25, 17, 60
test_ufunclike.py, 2005-10-29, 15, 46
test_polynomial.py, 2005-10-29, 33, 108
test_ma.py, 2005-11-10, 7, 51
test_records.py, 2005-12-13, 33, 102
test_defmatrix.py, 2006-01-05, 25, 70
test_multiarray.py, 2006-01-06, 142, 761
test_arraysetops.py, 2006-01-09, 35, 74
test_numeric.py, 2006-01-17, 76, 299
test_numerictypes.py, 2006-02-01, 19, 59
test_primes.py, 2006-02-06, 7, 14
test_oldnumeric.py, 2006-02-10, 8, 17
test_unicode.py, 2006-02-14, 19, 43
testSeries.py, 2006-03-14, 3, 9
test_scalarmath.py, 2006-05-30, 36, 129
test_parser.py, 2006-06-30, 6, 13
test_linalg.py, 2006-07-14, 44, 149
test_regression.py, 2006-07-18, 85, 654
test_utils.py, 2006-08-14, 47, 144
test_ctypeslib.py, 2006-08-14, 16, 42
test_scalar_in_out.py, 2006-10-07, 5, 14
test_derived_scalar.py, 2006-10-08, 5, 11
test_scalar_function_in.py, 2006-10-11, 5, 9
test_module_scalar.py, 2006-10-11, 5, 9
test_errstate.py, 2006-10-12, 13, 29
test_module_module.py, 2006-10-13, 6, 12
test_expressions.py, 2006-10-20, 1, 11
test_statements2.py, 2006-10-30, 1, 3
test_Fortran2003.py, 2006-11-01, 5, 10
test_fftpack.py, 2006-11-20, 11, 23
test1D.py, 2007-04-04, 1, 3
test2D.py, 2007-04-04, 1, 3
test3D.py, 2007-04-04, 1, 2
testMatrix.py, 2007-04-05, 10, 18
testTensor.py, 2007-04-05, 10, 18
testVector.py, 2007-04-05, 10, 18
test_fcompiler_gnu.py, 2007-04-22, 11, 19
test_random.py, 2007-08-28, 42, 119
testArray.py, 2007-11-29, 12, 17
testFarray.py, 2007-11-30, 10, 15
test_ufunc.py, 2007-12-04, 39, 217
test_core.py, 2007-12-15, 63, 340
test_extras.py, 2007-12-15, 35, 95
test_morestats.py, 2007-12-15, 2, 3
test_mrecords.py, 2007-12-15, 17, 61
test_mstats.py, 2007-12-15, 2, 5
test_subclassing.py, 2007-12-15, 15, 41
testutils.py, 2007-12-15, 12, 36
test_old_ma.py, 2007-12-15, 23, 56
test_format.py, 2007-12-16, 32, 77
test__datasource.py, 2008-02-12, 15, 38
test_memmap.py, 2008-02-21, 24, 49
test_io.py, 2008-04-03, 70, 247
test_financial.py, 2008-04-04, 15, 37
test_machar.py, 2008-04-29, 8, 18
test.c, 2008-05-26, 2, 2
test_stride_tricks.py, 2008-07-03, 17, 33
test_defchararray.py, 2008-07-10, 16, 41
test_print.py, 2008-07-12, 15, 63
test_blasdot.py, 2008-08-04, 8, 18
testFortran.py, 2008-08-12, 9, 15
test_arrayterator.py, 2008-08-13, 5, 10
test_build.py, 2008-11-08, 9, 23
test_docscrape.py, 2008-11-30, 4, 17
test__iotools.py, 2009-01-19, 11, 41
test_recfunctions.py, 2009-01-22, 12, 50
test_decorators.py, 2009-02-05, 11, 24
test_dtype.py, 2009-03-16, 43, 141
test_npy_pkg_config.py, 2009-07-26, 5, 16
testcalcs.py, 2009-08-26, 2, 9
test_umath_complex.py, 2009-11-04, 13, 51
test_chebyshev.py, 2009-11-14, 10, 48
test_polyutils.py, 2009-11-14, 5, 14
test_datetime.py, 2009-11-20, 35, 159
test_callback.py, 2010-03-06, 11, 40
test_mixed.py, 2010-03-06, 8, 20
test_return_character.py, 2010-03-06, 11, 24
test_return_complex.py, 2010-03-06, 9, 21
test_return_integer.py, 2010-03-06, 9, 21
test_return_logical.py, 2010-03-06, 8, 20
test_return_real.py, 2010-03-06, 9, 25
test_arrayprint.py, 2010-07-18, 28, 95
test_matlib.py, 2010-07-31, 7, 13
test_legendre.py, 2010-08-17, 9, 31
test_half.py, 2010-11-09, 12, 35
test_new_iterator.py, 2010-12-11, 2, 54
test_einsum.py, 2011-02-01, 25, 56
test_assumed_shape.py, 2011-02-25, 6, 20
test_kind.py, 2011-02-27, 4, 15
test_hermite.py, 2010-09-22, 8, 31
test_hermite_e.py, 2010-09-22, 8, 31
test_laguerre.py, 2010-09-22, 8, 30
test_fcompiler_intel.py, 2011-03-09, 3, 9
test_size.py, 2011-03-13, 5, 18
test_iterator.py, 2011-03-13, 1, 9
test_api.py, 2011-03-23, 19, 63
test_nditer.py, 2011-07-10, 18, 100
test_printing.py, 2011-07-15, 5, 16
test_doctesting.py, 2011-08-15, 3, 7
test_na.py, 2011-07-22, 3, 17
test_maskna.py, 2011-07-29, 5, 56
test_indexing.py, 2011-08-03, 27, 95
test_classes.py, 2011-12-23, 8, 28
test_arraypad.py, 2012-02-06, 22, 41
test-installed-numpy.py, 2012-05-21, 6, 11
test_indexerrors.py, 2012-06-06, 6, 13
test_multiarray_assignment.py, 2012-06-30, 4, 8
test_deprecations.py, 2012-12-13, 39, 173
test_item_selection.py, 2012-11-13, 9, 23
test_scalarprint.py, 2013-01-20, 12, 27
test_linkcode.py, 2013-02-16, 2, 4
test_phantom_import.py, 2013-02-16, 2, 4
test_plot_directive.py, 2013-02-16, 2, 4
test_traitsdoc.py, 2013-02-16, 2, 4
test_exec_command.py, 2013-03-06, 8, 19
test_gufuncs_linalg.py, 2012-11-09, 3, 17
testSuperTensor.py, 2013-06-08, 7, 9
test_nanfunctions.py, 2013-06-20, 18, 51
test_scalarinherit.py, 2014-02-26, 8, 14
test_abc.py, 2014-03-25, 5, 7
test__version.py, 2014-05-14, 3, 5
test_compat.py, 2014-06-26, 4, 7
test_packbits.py, 2014-11-27, 7, 12
test_system_info.py, 2015-02-24, 15, 35
test_scripts.py, 2015-04-29, 12, 25
testFlat.py, 2015-05-25, 6, 6
test_longdouble.py, 2015-08-12, 10, 27
test_mem_overlap.py, 2015-08-12, 12, 32
test_extint128.py, 2015-08-15, 6, 8
test_fromnumeric.py, 2016-01-12, 1, 2
test_numpy_version.py, 2015-12-29, 4, 10
test_reloading.py, 2016-07-20, 8, 12
test_warnings.py, 2016-01-29, 6, 10
test_parameter.py, 2016-11-23, 6, 11
test_mixins.py, 2017-04-21, 5, 13
test_string.py, 2017-04-15, 6, 15
test_common.py, 2017-06-13, 5, 10
test_block_docstring.py, 2017-07-07, 9, 14
test_fcompiler_nagfor.py, 2017-10-19, 3, 6
test_scalar_ctors.py, 2017-11-04, 6, 12
test_histograms.py, 2017-12-09, 14, 32
test_quoted_character.py, 2018-03-04, 7, 11
test_semicolon_split.py, 2018-03-08, 5, 9
test_from_template.py, 2018-03-10, 2, 2
test_scalarbuffer.py, 2018-03-25, 11, 14
test_matrix_linalg.py, 2018-04-25, 4, 5
test_masked_matrix.py, 2018-04-26, 7, 14
test_interaction.py, 2018-04-29, 4, 8
test_fcompiler.py, 2018-07-07, 4, 8
test_compile_function.py, 2018-09-20, 5, 9
test_overrides.py, 2018-09-20, 7, 36
test_public_api.py, 2018-11-13, 27, 64
test_pocketfft.py, 2018-12-25, 9, 16
test_shell_utils.py, 2019-02-23, 3, 3
test_scalar_methods.py, 2017-11-05, 8, 14
test_against_numpy.py, 2018-03-09, 2, 19
test_direct.py, 2018-03-09, 8, 41
test_numpy_mt19937.py, 2018-03-09, 2, 18
test_numpy_mt19937_regressions.py, 2018-03-09, 1, 5
test_smoke.py, 2018-03-09, 7, 30
test_legacy.py, 2018-03-28, 2, 3
test_generator_mt19937.py, 2019-03-20, 21, 70
test_generator_mt19937_regressions.py, 2019-03-20, 11, 17
test_randomstate.py, 2019-03-20, 10, 25
test_randomstate_regression.py, 2019-03-20, 11, 21
test_seed_sequence.py, 2019-06-26, 2, 5
test_umath_accuracy.py, 2019-07-16, 9, 19
test__exceptions.py, 2019-09-08, 4, 4
test_all_newsfragments_used.py, 2019-08-06, 2, 3
test_issue14735.py, 2019-10-30, 2, 2
test_extending.py, 2019-11-19, 4, 15
test_crackfortran.py, 2019-12-03, 9, 20
test_protocols.py, 2019-12-23, 1, 1
test_ccompiler.py, 2019-12-30, 3, 3
test_cpu_features.py, 2020-01-21, 5, 9
test_mingw32ccompiler.py, 2020-03-07, 2, 2
test_conversion_utils.py, 2020-04-17, 2, 5
test_cython.py, 2020-05-21, 5, 8
test_typing.py, 2020-06-06, 6, 35
test_flags.c, 2020-06-13, 1, 1
test_ccompiler_opt.py, 2020-06-13, 5, 9
test_ccompiler_opt_conf.py, 2020-06-13, 1, 4
test_cpu_dispatcher.py, 2020-06-13, 2, 2
test_array_coercion.py, 2020-06-19, 3, 20
test_financial_expired.py, 2020-08-12, 2, 3
test_module_doc.py, 2020-09-23, 2, 6
test_simd.py, 2020-07-08, 5, 30
test_simd_module.py, 2020-09-02, 1, 2
test_isfile.py, 2020-11-03, 2, 5
test_casting_unittests.py, 2020-11-04, 5, 18
test_arraymethod.py, 2020-11-04, 2, 4
test_build_ext.py, 2021-02-04, 1, 1
test_argparse.py, 2021-03-17, 1, 1
test_abstract_interface.py, 2021-03-29, 3, 6
test_generic_alias.py, 2021-01-11, 1, 12
test_hashtable.py, 2021-06-21, 1, 1
test_runtime.py, 2021-06-24, 1, 3
test_typing_extensions.py, 2021-07-19, 1, 3
test_array_object.py, 2021-07-19, 3, 12
test_elementwise_functions.py, 2021-07-23, 2, 6
test_creation_functions.py, 2021-07-23, 3, 9
test_custom_dtypes.py, 2021-07-20, 1, 8
test_symbolic.py, 2021-09-01, 3, 6
test_mem_policy.py, 2021-10-25, 4, 7
test_dlpack.py, 2021-05-27, 3, 13
test__all__.py, 2021-11-03, 1, 1
test_log.py, 2021-11-11, 1, 1
test_array_interface.py, 2021-12-29, 1, 1
test_sorting_functions.py, 2022-01-12, 1, 1
test_set_functions.py, 2022-01-13, 1, 1
test_limited_api.py, 2022-01-13, 1, 1
test_loadtxt.py, 2022-01-14, 2, 17
test_pyinstaller.py, 2022-01-06, 1, 1
test_data_type_functions.py, 2022-01-24, 1, 2
test_validation.py, 2022-01-24, 1, 1
